id,customer_id,name,location_name,segment_name,phone_number,email,ingestion_date,last_modified_date
63,64,Luis Ramirez,Puebla,Mediano,529805146723,dCuGbJacVl@jshlab.com,2024-02-23 20:28:32,2024-02-23 20:28:32
64,65,Alejandro Hernandez,Guadalajara,Pequeño,527834192605,zZpBuykDxl@yfgsoi.com,2024-02-23 20:28:32,2024-02-23 20:28:32
65,66,Juan Ramirez,Ciudad de Mexico,Mediano,520321795468,WEmzSXurcU@xbojfs.com,2024-02-23 20:28:32,2024-02-23 20:28:32
66,67,Pedro Rodriguez,Morelia,Grande,525486039217,aWLUGksPHb@joyptv.com,2024-02-23 20:28:32,2024-02-23 20:28:32
67,68,Manuel Perez,Guadalajara,Mediano,528697015243,HDtcTkFnsK@xiyvrn.com,2024-02-23 20:28:32,2024-02-23 20:28:32
68,69,Fernando Hernandez,Ciudad de Mexico,Mediano,528416532097,nhGZvIDBAl@pfzuxa.com,2024-02-23 20:28:32,2024-02-23 20:28:32
69,70,Jose Gonzalez,Cancun,Grande,520836479152,BuhMEDQxfW@kjfwzg.com,2024-02-23 20:28:32,2024-02-23 20:28:32
70,71,Pedro Ramirez,Monterrey,Grande,525219867430,vFDbcfTAmp@cfnetd.com,2024-02-23 20:28:32,2024-02-23 20:28:32
71,72,Miguel Rodriguez,Merida,Mediano,522403195876,mAhLETfQgd@vocniy.com,2024-02-23 20:28:32,2024-02-23 20:28:32
72,73,Jose Sanchez,Merida,Mediano,520924753681,tuKPLqIXeW@ghlktu.com,2024-02-23 20:28:32,2024-02-23 20:28:32
73,74,Manuel Hernandez,Cancun,Grande,527385492016,HXpbtyjsvo@ijzmtb.com,2024-02-23 20:28:32,2024-02-23 20:28:32
74,75,Pedro Hernandez,Morelia,Mediano,521482703695,hIZbOtgNeT@ubcwog.com,2024-02-23 20:28:32,2024-02-23 20:28:32
75,76,Jorge Hernandez,Merida,Grande,520489653721,vuCVIpwUal@rglwdb.com,2024-02-23 20:28:32,2024-02-23 20:28:32
76,77,Jose Perez,Guadalajara,Pequeño,523180427965,yhzJrSEsUG@pdboik.com,2024-02-23 20:28:32,2024-02-23 20:28:32
77,78,Jorge Lopez,Ciudad de Mexico,Mediano,520653497182,wmHAyYnbez@ezqpad.com,2024-02-23 20:28:32,2024-02-23 20:28:32
78,79,Jorge Rodriguez,Puebla,Grande,527438209165,cuGFoDrXCO@rgqtkl.com,2024-02-23 20:28:32,2024-02-23 20:28:32
79,80,Luis Cruz,Morelia,Pequeño,522174580369,oVHGFactLw@eluxnb.com,2024-02-23 20:28:32,2024-02-23 20:28:32
80,81,Miguel Sanchez,Puebla,Mediano,526510349782,rfDJjZtnNu@jxsptd.com,2024-02-23 20:28:32,2024-02-23 20:28:32
81,82,Juan Lopez,Ciudad de Mexico,Mediano,521974820536,jQARDXZzYy@szrvbl.com,2024-02-23 20:28:32,2024-02-23 20:28:32
82,83,Carlos Perez,Monterrey,Mediano,528479503126,eKoAatzgqF@xchova.com,2024-02-23 20:28:32,2024-02-23 20:28:32
83,84,Luis Rodriguez,Puebla,Grande,521407658293,rcFBqTKMzw@ytwvpi.com,2024-02-23 20:28:32,2024-02-23 20:28:32
84,85,Luis Garcia,Morelia,Grande,528542790613,qfSAxomrMz@pmiqfw.com,2024-02-23 20:28:32,2024-02-23 20:28:32
85,86,Alejandro Lopez,Merida,Pequeño,528195374206,IEFKvkZrto@uiqhnw.com,2024-02-23 20:28:32,2024-02-23 20:28:32
86,87,Alejandro Sanchez,Guadalajara,Mediano,528076935241,MaKsrnimQy@ufqjdt.com,2024-02-23 20:28:32,2024-02-23 20:28:32
87,88,Luis Martinez,Guadalajara,Grande,523845269107,aTYXAcVILd@fnkhsr.com,2024-02-23 20:28:32,2024-02-23 20:28:32
88,89,Carlos Cruz,Puebla,Grande,520721458639,YNswbMTfnl@doaupl.com,2024-02-23 20:28:32,2024-02-23 20:28:32
89,90,Alejandro Perez,Ciudad de Mexico,Mediano,526058192734,mTfIUMkazh@yuwkvd.com,2024-02-23 20:28:32,2024-02-23 20:28:32
90,91,Jorge Martinez,Cancun,Pequeño,528293056471,mNwoZMtBiq@htrqla.com,2024-02-23 20:28:32,2024-02-23 20:28:32
91,92,Manuel Rodriguez,Monterrey,Grande,523764025891,ipyRsSLQFa@gmpweu.com,2024-02-23 20:28:32,2024-02-23 20:28:32
92,93,Manuel Lopez,Cancun,Pequeño,520437258961,plkdEjILue@vzcmdn.com,2024-02-23 20:28:32,2024-02-23 20:28:32
93,94,Carlos Martinez,Merida,Pequeño,529563041287,BxHXWKgqSc@dnkxqh.com,2024-02-23 20:28:32,2024-02-23 20:28:32
94,95,Fernando Lopez,Puebla,Mediano,520159842367,ACNBTHikyc@nyepow.com,2024-02-23 20:28:32,2024-02-23 20:28:32
95,96,Fernando Perez,Queretaro,Mediano,527163984250,LliaJSWEqy@fivsce.com,2024-02-23 20:28:32,2024-02-23 20:28:32
96,97,Carlos Sanchez,Merida,Mediano,524835627910,LoyxGPAEwl@iqbvkn.com,2024-02-23 20:28:32,2024-02-23 20:28:32
97,98,Jorge Cruz,Puebla,Pequeño,524917083265,szPnMhTNGr@hawmzf.com,2024-02-23 20:28:32,2024-02-23 20:28:32
98,99,Pedro Lopez,Merida,Pequeño,529045867213,TtwGQzvOMW@lvhucm.com,2024-02-23 20:28:32,2024-02-23 20:28:32
99,100,Manuel Sanchez,Queretaro,Mediano,523428907165,LdQMucWsZX@nmxjrt.com,2024-02-23 20:28:32,2024-02-23 20:28:32
